O*NET-SOC Code,Task ID,Scale ID,Category,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Date,Domain Source
11-2011.00,3239,IM,,3.54,51.0,0.1265,3.2835,3.7917,N,08/2018,Incumbent
11-2011.00,3234,IM,,3.25,57.0,0.1317,2.985,3.5126,N,08/2018,Incumbent
11-2011.00,18586,IM,,3.89,27.0,0.1991,3.4764,4.295,N,08/2018,Incumbent
11-2011.00,3228,IM,,3.81,44.0,0.1563,3.4966,4.127,N,08/2018,Incumbent
11-2011.00,3235,IM,,3.68,38.0,0.1708,3.3323,4.0243,N,08/2018,Incumbent
11-2011.00,3241,IM,,3.62,45.0,0.1596,3.3006,3.9439,N,08/2018,Incumbent
11-2011.00,3240,IM,,3.61,45.0,0.136,3.3381,3.8861,N,08/2018,Incumbent
11-2011.00,3236,IM,,3.5,45.0,0.1233,3.2502,3.7473,N,08/2018,Incumbent
11-2011.00,3245,IM,,3.43,47.0,0.1588,3.1098,3.7492,N,08/2018,Incumbent
11-2011.00,3244,IM,,3.35,29.0,0.1747,2.9921,3.7077,N,08/2018,Incumbent
11-2021.00,951,IM,,4.3,113.0,0.1163,4.0663,4.527,N,07/2015,Incumbent
11-2021.00,20709,IM,,4.24,114.0,0.0637,4.1123,4.3645,N,07/2015,Incumbent
11-2021.00,952,IM,,3.99,95.0,0.1327,3.7297,4.2569,N,07/2015,Incumbent
11-2021.00,950,IM,,3.87,93.0,0.1527,3.5698,4.1764,N,07/2015,Incumbent
11-2021.00,957,IM,,3.7,103.0,0.1629,3.3784,4.0247,N,07/2015,Incumbent
11-2021.00,954,IM,,3.66,81.0,0.1199,3.4199,3.8971,N,07/2015,Incumbent
11-2021.00,956,IM,,3.65,89.0,0.1581,3.3358,3.964,N,07/2015,Incumbent
11-2021.00,958,IM,,3.56,104.0,0.1142,3.3317,3.7846,N,07/2015,Incumbent
11-2021.00,955,IM,,3.53,79.0,0.1762,3.175,3.8764,N,07/2015,Incumbent
11-2021.00,961,IM,,3.41,114.0,0.1448,3.1238,3.6975,N,07/2015,Incumbent
11-2021.00,963,IM,,3.4,96.0,0.0991,3.2063,3.5998,N,07/2015,Incumbent
11-2021.00,960,IM,,3.14,73.0,0.1194,2.8986,3.3747,N,07/2015,Incumbent
11-2021.00,964,IM,,3.41,72.0,0.3739,2.6669,4.1578,N,07/2015,Incumbent
11-2021.00,19502,IM,,3.41,72.0,0.3739,2.6669,4.1578,N,07/2015,Incumbent
11-2021.00,965,IM,,3.17,72.0,0.1177,2.9341,3.4034,N,07/2015,Incumbent
11-2021.00,19505,IM,,3.12,68.0,0.1828,2.7573,3.4869,N,07/2015,Incumbent
11-2021.00,962,IM,,3.06,67.0,0.2223,2.6178,3.5056,N,07/2015,Incumbent
11-2021.00,959,IM,,2.7,89.0,0.1531,2.4004,3.0089,N,07/2015,Incumbent
11-2021.00,19503,IM,,2.68,50.0,0.2747,2.1244,3.2283,N,07/2015,Incumbent
11-2021.00,19504,IM,,2.59,65.0,0.2483,2.0925,3.0847,N,07/2015,Incumbent
11-2022.00,3,IM,,4.22,23.0,,,,,07/2016,Occupational Expert
11-2022.00,1,IM,,4.09,23.0,,,,,07/2016,Occupational Expert
11-2022.00,5,IM,,3.95,22.0,,,,,07/2016,Occupational Expert
11-2022.00,14,IM,,3.7,20.0,,,,,07/2016,Occupational Expert
11-2022.00,4,IM,,3.61,23.0,,,,,07/2016,Occupational Expert
11-2022.00,9,IM,,3.59,22.0,,,,,07/2016,Occupational Expert
11-2022.00,2,IM,,3.57,21.0,,,,,07/2016,Occupational Expert
11-2022.00,11,IM,,3.5,22.0,,,,,07/2016,Occupational Expert
11-2022.00,6,IM,,3.48,21.0,,,,,07/2016,Occupational Expert
11-2022.00,15,IM,,3.38,21.0,,,,,07/2016,Occupational Expert
11-2022.00,8,IM,,3.26,19.0,,,,,07/2016,Occupational Expert
11-2022.00,7,IM,,3.25,16.0,,,,,07/2016,Occupational Expert
11-2022.00,10,IM,,3.14,21.0,,,,,07/2016,Occupational Expert
11-2022.00,13,IM,,4.07,15.0,,,,,07/2016,Occupational Expert
11-2022.00,17,IM,,3.55,11.0,,,,,07/2016,Occupational Expert
11-2022.00,12,IM,,3.44,9.0,,,,,07/2016,Occupational Expert
11-2022.00,16,IM,,3.14,7.0,,,,,07/2016,Occupational Expert
11-3012.00,21,IM,,3.71,103.0,0.1725,3.367,4.0513,N,07/2017,Incumbent
11-3012.00,20,IM,,3.7,122.0,0.0807,3.5447,3.8643,N,07/2017,Incumbent
11-3012.00,23,IM,,3.38,91.0,0.1064,3.1652,3.5878,N,07/2017,Incumbent
11-3012.00,22,IM,,3.33,122.0,0.0917,3.1501,3.5132,N,07/2017,Incumbent
11-3012.00,30,IM,,3.19,96.0,0.1078,2.9783,3.4064,N,07/2017,Incumbent
11-3012.00,24,IM,,4.06,99.0,0.1059,3.8534,4.2736,N,07/2017,Incumbent
11-3012.00,26,IM,,3.95,74.0,0.1392,3.6695,4.2245,N,07/2017,Incumbent
11-3012.00,19,IM,,3.92,94.0,0.1186,3.6832,4.1541,N,07/2017,Incumbent
11-3013.00,21276,IM,,4.55,92.0,0.0975,4.3527,4.7398,N,08/2024,Incumbent
11-3013.00,21278,IM,,4.5,84.0,0.1,4.3054,4.703,N,08/2024,Incumbent
11-3013.00,21277,IM,,4.21,79.0,0.1176,3.9721,4.4403,N,08/2024,Incumbent
11-3013.00,21280,IM,,4.09,85.0,0.1288,3.8369,4.349,N,08/2024,Incumbent
11-3013.00,21279,IM,,4.04,73.0,0.1426,3.7597,4.3282,N,08/2024,Incumbent
11-3013.00,21282,IM,,3.98,88.0,0.117,3.7492,4.2142,N,08/2024,Incumbent
11-3013.00,21273,IM,,3.92,81.0,0.1695,3.5853,4.2601,N,08/2024,Incumbent
11-3013.00,21281,IM,,3.72,84.0,0.1321,3.455,3.9804,N,08/2024,Incumbent
11-3013.00,21272,IM,,3.47,79.0,0.117,3.2348,3.7005,N,08/2024,Incumbent
11-3013.00,21274,IM,,3.04,65.0,0.1636,2.7106,3.3644,N,08/2024,Incumbent
11-3013.00,21275,IM,,3.62,41.0,0.3713,2.8707,4.3715,N,08/2024,Incumbent
11-3021.00,968,IM,,4.11,74.0,0.1316,3.8482,4.373,N,07/2016,Incumbent
11-3021.00,975,IM,,4.1,73.0,0.1067,3.8874,4.3127,N,07/2016,Incumbent
11-3021.00,978,IM,,4.08,74.0,0.139,3.8032,4.3574,N,07/2016,Incumbent
11-3021.00,969,IM,,4.04,69.0,0.1152,3.8065,4.2661,N,07/2016,Incumbent
11-3021.00,15198,IM,,3.99,70.0,0.1114,3.7639,4.2083,N,07/2016,Incumbent
11-3021.00,971,IM,,3.94,68.0,0.1853,3.5749,4.3145,N,07/2016,Incumbent
11-3021.00,977,IM,,3.88,73.0,0.1489,3.5861,4.1798,N,07/2016,Incumbent
11-3021.00,970,IM,,3.88,76.0,0.2144,3.4552,4.3093,N,07/2016,Incumbent
11-3021.00,967,IM,,3.85,72.0,0.1389,3.5694,4.1233,N,07/2016,Incumbent
11-3021.00,976,IM,,3.7,72.0,0.1662,3.3703,4.0331,N,07/2016,Incumbent
11-3021.00,973,IM,,3.7,75.0,0.2499,3.1996,4.1956,N,07/2016,Incumbent
11-3021.00,972,IM,,3.68,66.0,0.1534,3.3744,3.9871,N,07/2016,Incumbent
11-3021.00,980,IM,,3.63,74.0,0.207,3.2173,4.0423,N,07/2016,Incumbent
11-3021.00,979,IM,,3.59,60.0,0.1565,3.2813,3.9076,N,07/2016,Incumbent
11-3021.00,974,IM,,3.53,68.0,0.2315,3.0709,3.9951,N,07/2016,Incumbent
11-3021.00,981,IM,,3.39,67.0,0.2196,2.9466,3.8235,N,07/2016,Incumbent
11-3021.00,966,IM,,4.19,60.0,0.2026,3.7807,4.5916,N,07/2016,Incumbent
11-3031.00,21311,IM,,4.3,52.0,0.1851,3.9246,4.6678,N,08/2022,Incumbent
11-3031.00,21319,IM,,4.2,38.0,0.1488,3.9024,4.5055,N,08/2022,Incumbent
11-3031.00,21312,IM,,4.13,55.0,0.1043,3.9195,4.3376,N,08/2022,Incumbent
11-3031.00,21313,IM,,3.78,50.0,0.2148,3.3434,4.2068,N,08/2022,Incumbent
11-3031.00,21315,IM,,3.61,37.0,0.15,3.306,3.9143,N,08/2022,Incumbent
11-3031.00,21316,IM,,3.47,43.0,0.3517,2.7607,4.1804,N,08/2022,Incumbent
11-3031.00,21327,IM,,4.38,29.0,0.188,3.9913,4.7613,N,08/2022,Incumbent
11-3031.00,21322,IM,,4.24,13.0,0.3222,3.5351,4.9393,N,08/2022,Incumbent
11-3031.00,21321,IM,,4.14,25.0,0.2261,3.6773,4.6106,N,08/2022,Incumbent
11-3031.00,21318,IM,,4.09,38.0,0.2825,3.5212,4.666,N,08/2022,Incumbent
11-3031.00,21320,IM,,4.04,25.0,0.2498,3.5282,4.5592,N,08/2022,Incumbent
11-3031.00,21317,IM,,3.98,38.0,0.2037,3.5689,4.3945,N,08/2022,Incumbent
11-3031.00,21323,IM,,3.82,29.0,0.236,3.3394,4.3063,N,08/2022,Incumbent
11-3031.00,21325,IM,,3.76,41.0,0.1706,3.4135,4.1032,N,08/2022,Incumbent
11-3031.00,21314,IM,,3.65,32.0,0.1127,3.4195,3.8793,N,08/2022,Incumbent
11-3031.00,21326,IM,,3.61,31.0,0.2277,3.1497,4.0797,N,08/2022,Incumbent
11-3031.00,21329,IM,,3.18,16.0,0.3475,2.441,3.9223,N,08/2022,Incumbent
11-3031.01,8870,IM,,4.52,23.0,,,,,08/2020,Occupational Expert
11-3031.01,8858,IM,,4.48,25.0,,,,,08/2020,Occupational Expert
11-3031.01,8864,IM,,4.44,25.0,,,,,08/2020,Occupational Expert
11-3031.01,20168,IM,,4.4,25.0,,,,,08/2020,Occupational Expert
11-3031.01,8861,IM,,4.33,24.0,,,,,08/2020,Occupational Expert
11-3031.01,8866,IM,,4.25,24.0,,,,,08/2020,Occupational Expert
11-3031.01,8865,IM,,4.22,23.0,,,,,08/2020,Occupational Expert
11-3031.01,8872,IM,,4.2,20.0,,,,,08/2020,Occupational Expert
11-3031.01,8856,IM,,4.14,21.0,,,,,08/2020,Occupational Expert
11-3031.01,8863,IM,,4.09,23.0,,,,,08/2020,Occupational Expert
11-3031.01,8867,IM,,4.08,24.0,,,,,08/2020,Occupational Expert
11-3031.01,8860,IM,,4.06,18.0,,,,,08/2020,Occupational Expert
11-3031.01,8868,IM,,4.0,24.0,,,,,08/2020,Occupational Expert
11-3031.01,8859,IM,,4.0,24.0,,,,,08/2020,Occupational Expert
11-3031.01,8869,IM,,3.9,20.0,,,,,08/2020,Occupational Expert
11-3031.01,8871,IM,,3.71,21.0,,,,,08/2020,Occupational Expert
11-3031.01,8855,IM,,4.45,11.0,,,,,08/2020,Occupational Expert
11-3031.01,8857,IM,,4.33,15.0,,,,,08/2020,Occupational Expert
11-3031.01,8874,IM,,4.14,7.0,,,,,08/2020,Occupational Expert
11-3031.01,8873,IM,,4.0,7.0,,,,,08/2020,Occupational Expert
11-3031.01,20169,IM,,3.75,12.0,,,,,08/2020,Occupational Expert
11-3031.01,8875,IM,,3.0,11.0,,,,,08/2020,Occupational Expert
11-3031.03,15678,IM,,4.81,73.0,0.0689,4.6748,4.9494,N,07/2014,Incumbent
11-3031.03,15679,IM,,4.61,72.0,0.1241,4.3607,4.8557,N,07/2014,Incumbent
11-3031.03,15669,IM,,4.56,79.0,0.0688,4.4219,4.6957,N,07/2014,Incumbent
11-3031.03,15676,IM,,4.48,64.0,0.1742,4.1324,4.8288,N,07/2014,Incumbent
11-3031.03,15675,IM,,4.47,73.0,0.1141,4.2473,4.702,N,07/2014,Incumbent
11-3031.03,15667,IM,,4.38,74.0,0.1153,4.1544,4.6139,N,07/2014,Incumbent
11-3031.03,15668,IM,,4.23,76.0,0.1035,4.0195,4.4319,N,07/2014,Incumbent
11-3031.03,15664,IM,,4.22,69.0,0.123,3.9757,4.4665,N,07/2014,Incumbent
11-3031.03,15671,IM,,4.22,64.0,0.1942,3.8291,4.6054,N,07/2014,Incumbent
11-3031.03,15665,IM,,4.05,76.0,0.1055,3.8412,4.2614,N,07/2014,Incumbent
11-3031.03,15660,IM,,3.99,69.0,0.1415,3.7054,4.2701,N,07/2014,Incumbent
11-3031.03,15674,IM,,3.79,65.0,0.1302,3.5325,4.0528,N,07/2014,Incumbent
11-3031.03,15662,IM,,3.76,60.0,0.1138,3.5284,3.9836,N,07/2014,Incumbent
11-3031.03,15670,IM,,3.72,54.0,0.1274,3.4646,3.9756,N,07/2014,Incumbent
11-3031.03,15673,IM,,3.57,54.0,0.21,3.153,3.9953,N,07/2014,Incumbent
11-3031.03,15677,IM,,3.79,41.0,0.1794,3.4268,4.1521,N,07/2014,Incumbent
11-3031.03,15661,IM,,3.7,45.0,0.1867,3.3219,4.0744,N,07/2014,Incumbent
11-3031.03,15666,IM,,3.58,46.0,0.1702,3.2365,3.9222,N,07/2014,Incumbent
11-3031.03,15672,IM,,3.54,43.0,0.1967,3.1451,3.9391,N,07/2014,Incumbent
11-3031.03,15663,IM,,3.47,41.0,0.2352,2.9954,3.9463,N,07/2014,Incumbent
11-3051.00,39,IM,,4.01,101.0,0.1057,3.7976,4.2172,N,08/2021,Incumbent
11-3051.00,32,IM,,4.0,108.0,0.0976,3.8111,4.1979,N,08/2021,Incumbent
11-3051.00,34,IM,,3.99,109.0,0.1114,3.7673,4.2087,N,08/2021,Incumbent
11-3051.00,35,IM,,3.85,111.0,0.0692,3.7149,3.9894,N,08/2021,Incumbent
11-3051.00,36,IM,,3.85,104.0,0.1022,3.6488,4.0542,N,08/2021,Incumbent
11-3051.00,40,IM,,3.8,103.0,0.1077,3.5867,4.0138,N,08/2021,Incumbent
11-3051.00,38,IM,,3.72,107.0,0.1303,3.4624,3.9793,N,08/2021,Incumbent
11-3051.00,41,IM,,3.57,89.0,0.1227,3.3308,3.8184,N,08/2021,Incumbent
11-3051.00,33,IM,,3.56,95.0,0.1257,3.3062,3.8053,N,08/2021,Incumbent
11-3051.00,44,IM,,3.47,89.0,0.1123,3.248,3.6945,N,08/2021,Incumbent
11-3051.00,43,IM,,3.44,98.0,0.109,3.2251,3.6576,N,08/2021,Incumbent
11-3051.00,37,IM,,3.28,96.0,0.1195,3.0469,3.5215,N,08/2021,Incumbent
11-3051.00,45,IM,,3.53,44.0,0.1512,3.2201,3.83,N,08/2021,Incumbent
11-3051.01,15405,IM,,4.61,47.0,0.1506,4.3085,4.9148,N,08/2022,Incumbent
11-3051.01,15415,IM,,4.35,57.0,0.0928,4.1595,4.5314,N,08/2022,Incumbent
11-3051.01,15430,IM,,4.33,56.0,0.1093,4.1083,4.5465,N,08/2022,Incumbent
11-3051.01,15414,IM,,4.24,57.0,0.107,4.0268,4.4556,N,08/2022,Incumbent
11-3051.01,15428,IM,,4.23,54.0,0.0828,4.0603,4.3923,N,08/2022,Incumbent
11-3051.01,15413,IM,,4.22,55.0,0.1079,3.9994,4.4321,N,08/2022,Incumbent
11-3051.01,15429,IM,,4.2,51.0,0.116,3.9641,4.43,N,08/2022,Incumbent
11-3051.01,15431,IM,,4.17,49.0,0.1337,3.9048,4.4425,N,08/2022,Incumbent
11-3051.01,15421,IM,,4.11,54.0,0.13,3.8481,4.3697,N,08/2022,Incumbent
11-3051.01,15424,IM,,4.1,57.0,0.1031,3.8969,4.3099,N,08/2022,Incumbent
11-3051.01,15417,IM,,4.08,52.0,0.1408,3.7955,4.3608,N,08/2022,Incumbent
11-3051.01,15420,IM,,4.04,59.0,0.1152,3.8056,4.2667,N,08/2022,Incumbent
11-3051.01,15411,IM,,4.02,47.0,0.1336,3.7544,4.2923,N,08/2022,Incumbent
11-3051.01,15416,IM,,3.93,55.0,0.0968,3.7404,4.1286,N,08/2022,Incumbent
11-3051.01,15427,IM,,3.92,57.0,0.1194,3.681,4.1593,N,08/2022,Incumbent
11-3051.01,15418,IM,,3.85,42.0,0.2128,3.4182,4.2775,N,08/2022,Incumbent
11-3051.01,15422,IM,,3.84,49.0,0.1791,3.4843,4.2045,N,08/2022,Incumbent
11-3051.01,15425,IM,,3.78,54.0,0.1675,3.4453,4.1174,N,08/2022,Incumbent
11-3051.01,15423,IM,,3.78,50.0,0.1726,3.4291,4.123,N,08/2022,Incumbent
11-3051.01,15407,IM,,3.63,53.0,0.1199,3.3884,3.8697,N,08/2022,Incumbent
11-3051.01,15410,IM,,3.61,50.0,0.1227,3.3639,3.8571,N,08/2022,Incumbent
11-3051.01,15408,IM,,3.56,45.0,0.1557,3.2506,3.8782,N,08/2022,Incumbent
11-3051.01,15419,IM,,3.52,40.0,0.0966,3.3241,3.7147,N,08/2022,Incumbent
11-3051.01,15426,IM,,3.27,44.0,0.3203,2.6259,3.918,N,08/2022,Incumbent
11-3051.01,15409,IM,,3.27,49.0,0.1269,3.0117,3.5222,N,08/2022,Incumbent
11-3051.01,15406,IM,,3.24,39.0,0.1813,2.877,3.6109,N,08/2022,Incumbent
11-3051.01,15412,IM,,3.36,38.0,0.1522,3.05,3.6667,N,08/2022,Incumbent
11-3051.02,15446,IM,,4.36,47.0,0.0866,4.1845,4.5333,N,07/2011,Incumbent
11-3051.02,15447,IM,,4.34,49.0,0.0778,4.1883,4.5014,N,07/2011,Incumbent
11-3051.02,15434,IM,,4.09,48.0,0.1213,3.843,4.331,N,07/2011,Incumbent
11-3051.02,15443,IM,,4.01,50.0,0.1733,3.6667,4.3632,N,07/2011,Incumbent
11-3051.02,15439,IM,,4.0,46.0,0.0791,3.8416,4.1603,N,07/2011,Incumbent
11-3051.02,15448,IM,,3.95,46.0,0.1119,3.7216,4.1723,N,07/2011,Incumbent
11-3051.02,15445,IM,,3.93,46.0,0.1519,3.6284,4.2404,N,07/2011,Incumbent
11-3051.02,15433,IM,,3.91,40.0,0.1643,3.5756,4.2404,N,07/2011,Incumbent
11-3051.02,15444,IM,,3.89,45.0,0.0998,3.6858,4.0881,N,07/2011,Incumbent
11-3051.02,15436,IM,,3.85,45.0,0.1354,3.5746,4.1205,N,07/2011,Incumbent
11-3051.02,15441,IM,,3.77,38.0,0.2057,3.3579,4.1915,N,07/2011,Incumbent
11-3051.02,15432,IM,,3.77,43.0,0.1541,3.4635,4.0853,N,07/2011,Incumbent
11-3051.02,15442,IM,,3.67,47.0,0.1437,3.382,3.9604,N,07/2011,Incumbent
11-3051.02,15437,IM,,4.29,31.0,0.1043,4.0803,4.5063,N,07/2011,Incumbent
11-3051.02,15440,IM,,4.16,17.0,0.2324,3.6714,4.6567,N,07/2011,Incumbent
11-3051.02,15438,IM,,3.92,26.0,0.2106,3.4904,4.3577,N,07/2011,Incumbent
11-3051.02,15435,IM,,3.46,34.0,0.2152,3.0232,3.8987,N,07/2011,Incumbent
11-3051.03,15454,IM,,4.41,61.0,0.0861,4.2336,4.578,N,07/2016,Incumbent
11-3051.03,15462,IM,,4.32,60.0,0.1325,4.0593,4.5897,N,07/2016,Incumbent
11-3051.03,15450,IM,,4.3,63.0,0.1025,4.096,4.5058,N,07/2016,Incumbent
11-3051.03,15453,IM,,4.29,58.0,0.0884,4.1146,4.4688,N,07/2016,Incumbent
11-3051.03,15456,IM,,4.25,63.0,0.1115,4.0267,4.4724,N,07/2016,Incumbent
11-3051.03,15458,IM,,4.22,62.0,0.1216,3.974,4.4604,N,07/2016,Incumbent
11-3051.03,15461,IM,,4.22,58.0,0.1208,3.9738,4.4575,N,07/2016,Incumbent
11-3051.03,15449,IM,,4.04,63.0,0.1331,3.7778,4.31,N,07/2016,Incumbent
11-3051.03,15455,IM,,4.0,61.0,0.1473,3.709,4.2984,N,07/2016,Incumbent
11-3051.03,15451,IM,,3.98,56.0,0.1422,3.6969,4.2669,N,07/2016,Incumbent
11-3051.03,15452,IM,,3.93,52.0,0.1808,3.5664,4.2923,N,07/2016,Incumbent
11-3051.03,15460,IM,,3.72,49.0,0.1251,3.4725,3.9754,N,07/2016,Incumbent
11-3051.03,15457,IM,,3.56,50.0,0.0993,3.3641,3.7633,N,07/2016,Incumbent
11-3051.03,15459,IM,,3.56,50.0,0.1174,3.3211,3.793,N,07/2016,Incumbent
11-3051.04,21162,IM,,4.63,60.0,0.0677,4.4961,4.767,N,08/2020,Incumbent
11-3051.04,15471,IM,,4.52,61.0,0.1139,4.2961,4.7516,N,08/2020,Incumbent
